"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"YI","111, Inc.","13.51","96934250","7175000","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","6.3","37704025.8","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.2799","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.15","66911358.3","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","11.25","726652923.75","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","20.75","173871346.5","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","54.82","1423405521.14","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","9.69","596952004.26","61604954","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","79.13","4544028380.5","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"TPNL","3PEA International, Inc.","4.93","215296871.45","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"JOBS","51job, Inc.","71.36","2600085162.56","36436171","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","21.75","2029751064","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","21.45","479654410.95","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","40.25","2103656791.25","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","14","671205990","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","8.55","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","3.68","12161211.36","n/a","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
