"","particpate","elaboration","prefood","pregas","prebank","preretail","preother","Rfreq","mile1","mile2","mile3","mile4","basemile"
"7",0,0,3.1612892151,2.4838695526,48.774169922,0.5645160675,0,0,4,3,166,4,54.9838447572
"12",0,0,0,0,46.854827881,0.3387095928,10.95160675,0,93,3,23,0,58.1451442238
"14",0,0,7.5645141602,0.9032254219,67.516113281,0.451612711,0.6774191856,0,0,0,84,177,77.1128847597
"15",0,0,0,0,105.90319824,0,20.09677124,0,0,0,639,0,125.99996948
"18",0,0,0.1129031777,0,26.758056641,0,0.1129031777,0,0,0,0,59,26.9838629964
"19",1,8,0,13.54838562,33.53225708,0.1129031777,8.3548355103,0,3,2,110,0,55.548381388
"24",1,8,3.1612892151,0,0,0,0.3387095928,0,0,1,12,2,3.4999988079
"35",0,0,1.6935482025,0,24.387084961,0.2258063555,6.2096748352,0,260,0,36,0,32.5161143542
"39",0,0,11.741928101,0,131.87084961,0,0,0,15,2,426,33,143.612777711
"42",1,23,193.96765137,10.1612854,77.56451416,0.3387095928,0,0,166,266,102,67,282.0321605228
"44",0,0,4.4032249451,9.7096710205,76.774169922,0,22.919342041,0,37,22,376,9,113.8064079286
"51",0,0,47.419342041,4.51612854,16.258056641,3.5,0,0,25,61,54,18,71.693527222
"52",0,0,2.8225803375,0,37.822570801,0.1129031777,0,0,79,1,1,12,40.7580543162
"67",0,0,0.1129031777,0.5645160675,141.35473633,21.11289978,37.59677124,0,252,147,62,64,200.7418265952
"68",1,17,0.5645160675,0.3387095928,98.677368164,1.129032135,22.241928101,0,7,2,174,0,122.9515540603
"69",1,26,52.612884521,0.3387095928,40.080627441,6.6612892151,1.8064508438,0,128,0,424,32,101.4999616137
"75",1,26,5.3064498901,0,49.451599121,0,7.1128997803,0,1,8,0,116,61.8709487914
"76",0,0,47.870941162,2.25806427,58.03225708,21.338699341,0,0,25,147,40,41,129.499961853
"77",1,40,12.30644989,0.2258063555,50.016113281,0.7903223038,3.6129016876,0,204,5,0,11,66.9515935179
"91",0,0,0.1129031777,0,93.258056641,0,0,0,13,0,28,0,93.3709598187
"93",1,27,0,0,57.354827881,0,14.225799561,0,10,0,70,0,71.580627442
"104",1,25,0.1129031777,0,8.6935424805,0,0,0,0,0,15,0,8.8064456582
"105",1,53,53.967712402,0,53.516113281,1.01612854,3.6129016876,0,119,5,98,0,112.1128559106
