original,X1,0.091973186,0.072797635
FALSE,0.11999019,,0.11999019
FALSE,0.078238811,,0.078238811
FALSE,0.062747542,,0.062747542
FALSE,0.079256018,,0.079256018
FALSE,0.066724798,,0.066724798
FALSE,0.055148664,,0.055148664
FALSE,0.053141065,,0.053141065
FALSE,0.053035868,,0.053035868
FALSE,0.053682775,,0.053682775
FALSE,0.081598953,,0.081598953
FALSE,0.064219229,,0.064219229
FALSE,0.071358671,,0.071358671
FALSE,0.062598219,,0.062598219
FALSE,0.071669793,,0.071669793
FALSE,0.081313155,,0.081313155
FALSE,0.059197941,,0.059197941
FALSE,0.111240536,,0.111240536
TRUE,0.077327946,0.077327946,
FALSE,0.071072349,,0.071072349
FALSE,0.093253788,,0.093253788
FALSE,0.056205174,,0.056205174
FALSE,0.175856965,,0.175856965
FALSE,0.086696021,,0.086696021
FALSE,0.083257445,,0.083257445
FALSE,0.053550938,,0.053550938
FALSE,0.062564946,,0.062564946
FALSE,0.074219723,,0.074219723
FALSE,0.071930433,,0.071930433
FALSE,0.077072197,,0.077072197
FALSE,0.063659649,,0.063659649
FALSE,0.077180797,,0.077180797
FALSE,0.073077306,,0.073077306
FALSE,0.07400427,,0.07400427
TRUE,0.14090061,0.14090061,
FALSE,0.06027568,,0.06027568
FALSE,0.059755819,,0.059755819
FALSE,0.06924128,,0.06924128
TRUE,0.057170455,0.057170455,
FALSE,0.063844712,,0.063844712
FALSE,0.09256253,,0.09256253
FALSE,0.076030611,,0.076030611
FALSE,0.058614265,,0.058614265
FALSE,0.06909623,,0.06909623
TRUE,0.139389659,0.139389659,
FALSE,0.081547169,,0.081547169
FALSE,0.0753147,,0.0753147
FALSE,0.062250501,,0.062250501
FALSE,0.062628396,,0.062628396
FALSE,0.055397134,,0.055397134
FALSE,0.08353842,,0.08353842
TRUE,0.095822626,0.095822626,
TRUE,0.12124317,0.12124317,
FALSE,0.07122322,,0.07122322
TRUE,0.324111342,0.324111342,
FALSE,0.064722838,,0.064722838
FALSE,0.099008168,,0.099008168
FALSE,0.058565853,,0.058565853
FALSE,0.069812084,,0.069812084
FALSE,0.087351034,,0.087351034
FALSE,0.060833789,,0.060833789
FALSE,0.095658154,,0.095658154
FALSE,0.052018068,,0.052018068
FALSE,0.078880014,,0.078880014
FALSE,0.058484806,,0.058484806
FALSE,0.094409596,,0.094409596
FALSE,0.128134961,,0.128134961
FALSE,0.054974209,,0.054974209
FALSE,0.057454667,,0.057454667
FALSE,0.264675849,,0.264675849
FALSE,0.06255861,,0.06255861
FALSE,0.076430842,,0.076430842
FALSE,0.116832275,,0.116832275
FALSE,0.083935363,,0.083935363
FALSE,0.056842653,,0.056842653
FALSE,0.059540052,,0.059540052
FALSE,0.077018735,,0.077018735
FALSE,0.088123966,,0.088123966
FALSE,0.069206716,,0.069206716
FALSE,0.075499144,,0.075499144
FALSE,0.068018035,,0.068018035
FALSE,0.057300178,,0.057300178
FALSE,0.092859733,,0.092859733
FALSE,0.080471362,,0.080471362
FALSE,0.057302692,,0.057302692
FALSE,0.085101794,,0.085101794
FALSE,0.063922694,,0.063922694
FALSE,0.064919921,,0.064919921
FALSE,0.08253341,,0.08253341
FALSE,0.073906944,,0.073906944
FALSE,0.06980969,,0.06980969
FALSE,0.087734793,,0.087734793
FALSE,0.112081269,,0.112081269
FALSE,0.079331997,,0.079331997
FALSE,0.053623601,,0.053623601
FALSE,0.069392722,,0.069392722
FALSE,0.065074845,,0.065074845
FALSE,0.062558513,,0.062558513
FALSE,0.068153467,,0.068153467
FALSE,0.066454118,,0.066454118
FALSE,0.059987194,,0.059987194
FALSE,0.064049192,,0.064049192
FALSE,0.062983051,,0.062983051
FALSE,0.064342278,,0.064342278
FALSE,0.059615062,,0.059615062
FALSE,0.066740398,,0.066740398
FALSE,0.076641908,,0.076641908
FALSE,0.067107002,,0.067107002
FALSE,0.077098742,,0.077098742
FALSE,0.070533869,,0.070533869
TRUE,0.088005875,0.088005875,
FALSE,0.062803724,,0.062803724
FALSE,0.113147779,,0.113147779
FALSE,0.196963697,,0.196963697
FALSE,0.051799099,,0.051799099
FALSE,0.334009705,,0.334009705
FALSE,0.145503811,,0.145503811
FALSE,0.090067437,,0.090067437
FALSE,0.080003785,,0.080003785
FALSE,0.073120841,,0.073120841
FALSE,0.073893034,,0.073893034
FALSE,0.081593603,,0.081593603
FALSE,0.081867454,,0.081867454
FALSE,0.177153194,,0.177153194
FALSE,0.053182447,,0.053182447
FALSE,0.069839939,,0.069839939
FALSE,0.059617599,,0.059617599
FALSE,0.062235845,,0.062235845
FALSE,0.118891836,,0.118891836
FALSE,0.064849752,,0.064849752
FALSE,0.093266534,,0.093266534
FALSE,0.098869711,,0.098869711
FALSE,0.071034132,,0.071034132
FALSE,0.075406309,,0.075406309
FALSE,0.071472872,,0.071472872
FALSE,0.091936448,,0.091936448
FALSE,0.069015953,,0.069015953
FALSE,0.058017283,,0.058017283
FALSE,0.067989286,,0.067989286
FALSE,0.06929539,,0.06929539
FALSE,0.067603452,,0.067603452
TRUE,0.08782496,0.08782496,
FALSE,0.065228093,,0.065228093
FALSE,0.077757086,,0.077757086
FALSE,0.075825063,,0.075825063
FALSE,0.069482527,,0.069482527
FALSE,0.091181277,,0.091181277
FALSE,0.077024005,,0.077024005
FALSE,0.068394337,,0.068394337
FALSE,0.079979364,,0.079979364
FALSE,0.151227012,,0.151227012
TRUE,0.083354237,0.083354237,
FALSE,0.153508602,,0.153508602
FALSE,0.075914427,,0.075914427
FALSE,0.058440938,,0.058440938
FALSE,0.105205741,,0.105205741
FALSE,0.0978689,,0.0978689
FALSE,0.070447147,,0.070447147
FALSE,0.099641779,,0.099641779
FALSE,0.09471316,,0.09471316
FALSE,0.089144715,,0.089144715
FALSE,0.067124989,,0.067124989
TRUE,0.075432423,0.075432423,
FALSE,0.055895577,,0.055895577
FALSE,0.084946336,,0.084946336
FALSE,0.052553342,,0.052553342
FALSE,0.073280961,,0.073280961
FALSE,0.064157528,,0.064157528
FALSE,0.05618781,,0.05618781
TRUE,0.067408297,0.067408297,
FALSE,0.077578052,,0.077578052
FALSE,0.059820525,,0.059820525
FALSE,0.071749802,,0.071749802
FALSE,0.063662245,,0.063662245
FALSE,0.058447585,,0.058447585
FALSE,0.059026717,,0.059026717
TRUE,0.081185081,0.081185081,
FALSE,0.053977537,,0.053977537
TRUE,0.09319323,0.09319323,
FALSE,0.078454331,,0.078454331
FALSE,0.107429206,,0.107429206
FALSE,0.125805303,,0.125805303
FALSE,0.063678396,,0.063678396
FALSE,0.068619331,,0.068619331
FALSE,0.070241569,,0.070241569
FALSE,0.053937957,,0.053937957
TRUE,0.08741595,0.08741595,
TRUE,0.179277649,0.179277649,
FALSE,0.08413573,,0.08413573
FALSE,0.068516159,,0.068516159
FALSE,0.063493266,,0.063493266
FALSE,0.075046295,,0.075046295
FALSE,0.068463387,,0.068463387
FALSE,0.086041435,,0.086041435
FALSE,0.098991255,,0.098991255
FALSE,0.071168059,,0.071168059
FALSE,0.068595067,,0.068595067
FALSE,0.060979279,,0.060979279
FALSE,0.056028874,,0.056028874
FALSE,0.06365357,,0.06365357
FALSE,0.070982182,,0.070982182
