"o","X1"
0,3.67107677414997
0,0
0,0
0,3.46318817826715
0,0
0,0
0,0
0,0
0,0
0,3.48604401650658
0,0
0,0
0,0
0,0
0,0
0,0
0,3.53892354473281
2.3933391571,3.46056623629579
0,0
0,3.50066391339406
0,0
0,3.64638017440958
0,3.52149052890724
0,3.52014637633936
0,0
0,0
0,0
0,0
0,3.48845664772657
0,0
0,3.50752317164513
0,0
0,0
4.6841621399,3.65043783050753
0,0
0,0
0,0
2.7663173676,0
0,0
0,3.51078590020803
0,3.49570910487556
0,0
0,0
4.0562934875,3.60584566251437
0,3.48431217527725
0,0
0,0
0,0
0,0
0,3.47644614233656
3.723279953,3.55003857905477
4.4161834717,3.61997056673532
0,0
4.8476448059,3.77993588452158
0,0
0,3.53860503678289
0,0
0,0
0,3.50000603744049
0,0
0,3.50391151622884
0,0
0,3.4909562867347
0,0
0,3.5545438095368
0,3.66507726068293
0,0
0,0
0,3.74151573095877
0,0
0,3.49590920334157
0,3.53010186652012
0,3.53675270990665
0,0
0,0
0,3.45180334321323
0,3.49171743253961
0,0
0,0
0,0
0,0
0,3.53859564466034
0,3.4916315316906
0,0
0,3.47692770430692
0,0
0,0
0,3.51748748468199
0,0
0,0
0,3.5019232081715
0,3.52734822029433
0,3.47234235692302
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.46098193551929
0,0
0,3.45543673454571
0,0
3.1759681702,3.50272749107024
0,0
0,3.58327231041908
0,3.74120709137935
0,0
0,4.00679405726773
0,3.60193640553612
0,3.47914722679647
0,3.49585494281689
0,0
0,0
0,3.46452586149557
0,3.48117584471474
0,3.62466669659903
0,0
0,0
0,0
0,0
0,3.61390083811103
0,0
0,3.55823370489836
0,3.54114299781891
0,0
0,3.47016869398241
0,0
0,3.53853939415711
0,0
0,0
0,0
0,0
0,0
2.3933391571,3.48242666482834
0,0
0,3.49639007352147
0,3.47857095799818
0,0
0,3.50854932404906
0,3.47354234148215
0,0
0,3.47477724092443
0,3.63049134702378
3.0416603088,3.48702655311631
0,3.67672474675671
0,3.4799262445044
0,0
0,3.54916986976879
0,3.50716236111701
0,0
0,3.50847874933771
0,3.51303237535041
0,3.54851754364264
0,0
3.7012996674,0
0,0
0,3.5007067092242
0,0
0,0
0,0
0,0
2.6979980469,0
0,3.46325165259633
0,0
0,0
0,0
0,0
0,0
3.6836147308,3.50060781724656
0,0
3.6783218384,3.51348508601224
0,3.48740159142968
0,3.56866435186834
0,3.56291904682248
0,0
0,0
0,0
0,0
2.6282844543,3.49019216763556
5.0278167725,3.64270802237969
0,3.48144056853768
0,0
0,0
0,3.46546530700734
0,0
0,3.49902199176736
0,3.49880105933861
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49031595560561
0,0
0,0
0,0
3.1527347565,3.60914383238548
0,0
0,0
0,3.56635914408048
0,3.53366478285968
0,3.49071519166639
0,3.46841420471405
0,0
0,0
0,3.47207152867346
0,0
4.2259559631,3.59595063530198
0,0
0,3.50069495354477
0,3.52098039855625
0,0
0,0
0,0
0,3.50277201189816
0,3.52719070756213
0,3.51124309524909
0,3.58121157391406
0,3.48430720139139
0,0
0,3.61685463035452
0,0
0,0
0,0
0,3.63293299724216
0,3.49372845753523
0,3.51468023433859
0,0
0,3.47709482151691
0,0
0,0
0,0
0,0
0,0
0,0
0,3.56031050489026
0,0
0,0
0,0
0,3.52476857452791
0,0
0,3.45783943291787
0,3.50746429980688
0,0
3.1734580994,3.53292678894612
0,0
0,0
0,0
0,3.48859270573174
0,3.53043730264733
0,3.48935615064965
0,0
0,3.62260968870493
2.3924236298,3.4757125251083
0,0
0,0
0,0
0,3.51091133592396
0,3.54341532231205
0,0
0,3.47298269788214
0,0
0,3.58582133093206
0,3.50324198112105
0,3.53919084575195
0,0
0,0
0,0
0,0
0,0
0,0
3.7338523865,3.62181560358373
0,0
3.1780529022,3.56184473686344
0,0
3.6027755737,3.45809784631128
3.042137146,0
0,3.46337909132244
0,0
0,0
0,3.68387128348502
0,0
3.0397472382,0
0,3.52587162391617
0,0
0,0
0,3.48315888710827
4.7937202454,3.50184385614197
0,0
0,0
0,0
0,0
0,3.54644767300605
4.3618202209,0
0,3.48843704948092
0,0
0,3.49070515754502
0,0
0,3.55384998459927
0,3.51923141787001
4.7080841064,3.59479746617027
0,3.53513361425085
0,0
0,3.54255075551228
0,3.54136294173354
0,3.561970086619
0,0
0,0
0,0
0,0
0,0
0,0
0,3.54936439786715
0,0
0,0
3.6532516479,3.51013490609351
0,3.66478110022391
3.9070091248,3.51536445840367
2.3795452118,0
0,0
0,3.53536768862007
0,3.82713264711453
0,0
0,3.47354887879278
0,0
0,0
0,3.52103008698142
0,3.50971328236896
0,0
0,0
0,3.57009547338729
0,0
0,3.55627497336582
0,0
0,3.50707943479645
0,0
0,0
0,3.58718109844939
0,0
0,3.46808158978406
0,0
0,3.51368531294312
0,0
0,0
0,3.53266038931428
0,0
0,0
0,0
0,0
0,3.49673560305351
0,0
0,0
3.8649291992,3.51165636328675
0,3.48572881950591
0,0
0,0
3.4934711456,3.50311075319584
0,3.57193918141582
0,0
0,0
0,3.5022280052501
0,3.46697721597097
0,3.59991978231683
3.7316989899,3.57108122295277
0,0
0,0
0,0
0,0
0,0
3.8231906891,0
0,3.49063928829481
